writeFileAppointments,2021-04-27 18:46:23.544
writeFilePrescriptions,2021-04-27 18:46:23.571
writeFileAppointments,2021-04-27 18:49:12.612
writeFilePrescriptions,2021-04-27 18:49:12.646
writeFileAppointments,2021-04-27 18:49:30.535
writeFilePrescriptions,2021-04-27 18:49:30.571
writeFileAppointments,2021-04-27 18:52:49.277
writeFilePrescriptions,2021-04-27 18:52:49.31
writeFileAppointments,2021-04-27 18:53:58.611
writeFilePrescriptions,2021-04-27 18:53:58.637
writeFileAppointments,2021-04-27 18:54:36.964
writeFilePrescriptions,2021-04-27 18:54:36.991
writeFileAppointments,2021-04-27 18:56:01.114
writeFilePrescriptions,2021-04-27 18:56:01.145
writeFileAppointments,2021-04-27 18:56:16.558
writeFilePrescriptions,2021-04-27 18:56:16.597
writeFileAppointments,2021-04-27 18:57:54.433
writeFilePrescriptions,2021-04-27 18:57:54.458
writeFileAppointments,2021-04-27 18:58:13.901
writeFilePrescriptions,2021-04-27 18:58:13.94
writeFileAppointments,2021-05-26 23:14:16.796
writeFilePrescriptions,2021-05-26 23:14:16.807
writeFileAppointments,2021-05-26 23:40:30.722
writeFilePrescriptions,2021-05-26 23:40:30.74
